sample_id,scenario_type,target_parent_asin,candidate_count_turn_1,recommendation_count_turn_1,ask_attribute_turn_1,recommendations_turn_1,target_survives_turn_1,intent_epoch_turn_1,hit,first_hit_turn,best_rank,actually_reached_turn_10,surviving_parent_asins_turn_10,exactly_10_survivors_turn_10,at_most_10_survivors_turn_10,candidate_count_turn_2,recommendation_count_turn_2,ask_attribute_turn_2,recommendations_turn_2,target_survives_turn_2,intent_epoch_turn_2,candidate_count_turn_3,recommendation_count_turn_3,ask_attribute_turn_3,recommendations_turn_3,target_survives_turn_3,intent_epoch_turn_3,candidate_count_turn_4,recommendation_count_turn_4,ask_attribute_turn_4,recommendations_turn_4,target_survives_turn_4,intent_epoch_turn_4,candidate_count_turn_5,recommendation_count_turn_5,ask_attribute_turn_5,recommendations_turn_5,target_survives_turn_5,intent_epoch_turn_5,candidate_count_turn_6,recommendation_count_turn_6,ask_attribute_turn_6,recommendations_turn_6,target_survives_turn_6,intent_epoch_turn_6,candidate_count_turn_7,recommendation_count_turn_7,ask_attribute_turn_7,recommendations_turn_7,target_survives_turn_7,intent_epoch_turn_7,candidate_count_turn_8,recommendation_count_turn_8,ask_attribute_turn_8,recommendations_turn_8,target_survives_turn_8,intent_epoch_turn_8,candidate_count_turn_9,recommendation_count_turn_9,ask_attribute_turn_9,recommendations_turn_9,target_survives_turn_9,intent_epoch_turn_9,candidate_count_turn_10,recommendation_count_turn_10,ask_attribute_turn_10,recommendations_turn_10,target_survives_turn_10,intent_epoch_turn_10
public_0011,browsing,B0BXP6MG3X,46,10,feature,B07HYJZKW4;B09Z8RQYF7;B075WRHFFW;B06ZYBR3GC;B07FHZ5VGS;B00KDC6VVW;B00LUIB2V2;B00L10BT3A;B07DQSWHWN;B00YBBN9B6,True,0,True,2,1,False,1,False,True,1,1,,B0BXP6MG3X,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0012,browsing,B08FFGQF72,591,10,other,B08RDQDRP1;B07BWCYQK4;B084GG69PT;B07QJ4NTFJ;B076ZGFS7D;B008RPPFJG;B07C743ML4;B086186Z3T;B01MU7NF2K;B074R8PC4W,True,0,True,3,1,False,1,False,True,41,10,feature,B08417XN9W;B07CV5DPJ7;B074V57VDW;B072NCCT33;B076QLCWCQ;B093L1KNTJ;B07WQXC1HL;B08MWNB6GP;B0BVYL1T2M;B082PLH6RS,True,0,1,1,,B08FFGQF72,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0013,intent_override,B0C65TFM9F,1,1,,B0C65TFM9F,True,0,True,5,1,False,1,False,True,1,1,,B0C65TFM9F,True,0,1,1,,B0C65TFM9F,True,0,188,10,other,B08L39SH1C;B07RX5TRPY;B07S4HXS7V;B07GR2B96Y;B07RY6MB3X;B07RX5R7RQ;B07YRN6GFG;B0912MMSQS;B006ZTUADW;B06XNVBDPN,True,1,1,1,,B0C65TFM9F,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0014,browsing,B088QF5G58,51,10,other,B09SHN6FFF;B00CXB156W;B07GCM9ZQJ;B00OUPXZUI;B01GK9IITO;B07QFWMJFW;B005K2N334;B07HSZ1KX9;B076JC8QXZ;B075VJ416K,True,0,True,2,1,False,1,False,True,1,1,,B088QF5G58,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0015,browsing,B08513YB2T,283,10,feature,B0BBZ315JR;B001C16OXI;B00EM67A42;B07T5Q7G8R;B01J3IF93C;B081FK41NY;B000H76YK6;B004SGJAGC;B07KYYMVPN;B0814CS8MN,True,0,True,2,1,False,1,False,True,1,1,,B08513YB2T,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0016,browsing,B07PH3X7QK,137,10,feature,B00RKJ2N8G;B00979M0SU;B000WZHWTK;B00WCBOPTM;B003HCRNE4;B00REWSJ64;B005GT2GNY;B07YGKXP7W;B002C74IEI;B002BXAC0W,True,0,True,2,2,False,17,False,False,17,10,other,B08M68Q4J5;B07PH3X7QK;B00AY48OP0;B07GH7V8MM;B09FSJT676;B00CCYB8XK;B09NBN68DD;B07D44JK89;B09FSLBR32;B0897WX4Y3,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0017,buying,B089RXP8K2,271,10,other,B07VMHRBLK;B07QB49ZZ5;B00NBQ6B6C;B00I11T1HI;B00SC06IJ2;B0099NSYPM;B07L5GYM1G;B09WTPQ9BJ;B07SRY8STQ;B01MUEF415,True,0,False,,,True,15,False,False,15,10,color,B004D9CUWU;B07F1WY89W;B01E61BKMA;B0BVFRCTYL;B0B62WSCN3;B00CORDTWI;B09T9VD8ZC;B07XB1LWHG;B017IIU8X0;B00T1TORAA,True,0,15,10,size,B004D9CUWU;B07F1WY89W;B01E61BKMA;B0BVFRCTYL;B0B62WSCN3;B00CORDTWI;B09T9VD8ZC;B07XB1LWHG;B017IIU8X0;B00T1TORAA,True,0,15,10,budget,B004D9CUWU;B07F1WY89W;B01E61BKMA;B0BVFRCTYL;B0B62WSCN3;B00CORDTWI;B09T9VD8ZC;B017IIU8X0;B000LZ02YS;B07XB1LWHG,True,0,15,10,brand,B004D9CUWU;B07F1WY89W;B01E61BKMA;B0BVFRCTYL;B0B62WSCN3;B00CORDTWI;B09T9VD8ZC;B017IIU8X0;B000LZ02YS;B07XB1LWHG,True,0,15,10,,B004D9CUWU;B07F1WY89W;B01E61BKMA;B0BVFRCTYL;B0B62WSCN3;B00CORDTWI;B09T9VD8ZC;B017IIU8X0;B000LZ02YS;B07XB1LWHG,True,0,15,10,,B004D9CUWU;B07F1WY89W;B0BVFRCTYL;B08GPGX2QG;B01E61BKMA;B017IIU8X0;B00CORDTWI;B09T9VD8ZC;B0B62WSCN3;B00T1TORAA,True,0,15,10,,B004D9CUWU;B07F1WY89W;B0BVFRCTYL;B08GPGX2QG;B01E61BKMA;B017IIU8X0;B00CORDTWI;B09T9VD8ZC;B0B62WSCN3;B00T1TORAA,True,0,15,10,,B004D9CUWU;B07F1WY89W;B0BVFRCTYL;B08GPGX2QG;B01E61BKMA;B017IIU8X0;B00CORDTWI;B09T9VD8ZC;B0B62WSCN3;B00T1TORAA,True,0,15,10,,B004D9CUWU;B07F1WY89W;B0BVFRCTYL;B08GPGX2QG;B01E61BKMA;B017IIU8X0;B00CORDTWI;B09T9VD8ZC;B0B62WSCN3;B00T1TORAA,True,0
public_0018,buying,B07H3T5YGH,9,9,,B01G92PR4Q;B072S98CN2;B088LWDGBF;B07DPM8H8B;B079DNQYCG;B07ZYMGXZZ;B07H3T5YGH;B01E283N5O;B00VFBI2OE,True,0,True,1,7,False,9,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0019,browsing,B076VQQ962,109,10,other,B009FBD0IO;B075QYCYW1;B076V3SGHX;B003I84XIG;B08CNXSJSF;B0BWLXWHNL;B0041TSHO2;B08BLVXQ3M;B074WDLGK3;B009YK03NQ,True,0,True,2,1,False,1,False,True,1,1,,B076VQQ962,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0020,buying,B08P4SSFX4,34,10,other,B082VSZ42L;B00MW6ZZJ6;B084Y7YLZS;B00LP176Q4;B000MX0J4W;B0BGXXFD6J;B07JNG8PBY;B06WP3B6QY;B0758CQZRM;B0746NPLXK,True,0,True,2,5,False,6,False,True,6,6,,B074X6Q6GG;B073RTNZKZ;B077GPKTSP;B07DPDYS59;B08P4SSFX4;B0773HHV2Q,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0021,browsing,B07K4FX4WZ,56,10,other,B079SZH9WN;B00H4A9IW0;B075NXQL2X;B07S79DCTH;B0BS98NVHG;B00EKQDN40;B076K5M3GQ;B077ZL47CK;B07N3NFGF9;B008Y1KQU6,True,0,True,2,1,False,1,False,True,1,1,,B07K4FX4WZ,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0022,buying,B08F5G843H,235,10,other,B07G7YS311;B09L815H4H;B07B4QQNCB;B09V7D7QNY;B00K2RGE4C;B07CKW7BRZ;B08ZMXR9W1;B09473JX5T;B00P917AGM;B00MNGMG2E,True,0,True,2,1,False,1,False,True,1,1,,B08F5G843H,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0023,intent_override,B08ZKFD4GM,1,1,,B08ZKFD4GM,True,0,True,4,4,False,63,False,False,1,1,,B08ZKFD4GM,True,0,1,1,,B08ZKFD4GM,True,0,63,10,other,B07PWZXZVX;B07B4VZ9DV;B00MAM0N0S;B08ZKFD4GM;B084JG8PK9;B007WBJGO6;B07HB978LT;B01779Z6M8;B01MU7SF2F;B01LF7UCV8,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0024,buying,B076X3JXMW,19,10,other,B010C6876A;B00LYO2N0Q;B09XK49V29;B07BNZC2X3;B01DTXNCXQ;B06X9B45YB;B084KCDX92;B088QZYSHB;B076X3JXMW;B08HR8T7YN,True,0,True,1,9,False,19,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0025,browsing,B0BRS1DHVQ,58,10,other,B0B5X9T9XB;B0BRS1DHVQ;B0BKG4BQWV;B07H9RL33Q;B07SRBP4VR;B0859TL6QX;B08P45PZCW;B09VGZ7THS;B07QV8146L;B087TYP1R1,True,0,True,1,2,False,58,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0026,buying,B093R14VP1,23,10,other,B073K3Z3JM;B01N2KJN9S;B00KXDEUQ4;B00AO3BMPU;B00E6EMTNC;B008JEWBAG;B00AKB9N7K;B016MPXB02;B0058WZI20;B008JFE84W,True,0,True,7,9,False,14,False,False,14,10,color,B016MPXB02;B00BMLXS0U;B0002M13Q6;B008JFE84W;B008JEWBAG;B00AKB9N7K;B00GUTK12M;B00PBFVMOC;B00HMN9QM6;B00YCYG3BU,True,0,14,10,size,B016MPXB02;B00BMLXS0U;B0002M13Q6;B008JFE84W;B008JEWBAG;B00AKB9N7K;B00GUTK12M;B00PBFVMOC;B00HMN9QM6;B00YCYG3BU,True,0,14,10,budget,B016MPXB02;B008JFE84W;B00GUTK12M;B00PBFVMOC;B008JEWBAG;B00AKB9N7K;B00HMN9QM6;B00YCYG3BU;B00BMLXS0U;B00KXIMWVY,True,0,14,10,brand,B016MPXB02;B008JFE84W;B00GUTK12M;B00PBFVMOC;B008JEWBAG;B00AKB9N7K;B00HMN9QM6;B00YCYG3BU;B00BMLXS0U;B00KXIMWVY,True,0,14,10,,B016MPXB02;B008JFE84W;B00GUTK12M;B00PBFVMOC;B008JEWBAG;B00AKB9N7K;B00HMN9QM6;B00YCYG3BU;B00BMLXS0U;B00KXIMWVY,True,0,14,10,,B016MPXB02;B008JFE84W;B00GUTK12M;B00PBFVMOC;B00HMN9QM6;B00YCYG3BU;B008JEWBAG;B00AKB9N7K;B093R14VP1;B00BMLXS0U,True,0,,,,,,,,,,,,,,,,,,
public_0027,buying,B0858VDFDW,227,10,other,B072BJQ67P;B074WFYC96;B07WJJDHDP;B003ZV2HES;B0858VDFDW;B00BZ9VP5E;B08C4BXCX8;B01MYYE9JT;B00K1Y786Y;B07KR6KFHD,True,0,True,1,5,False,227,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0028,buying,B0B9ZYDDZ1,271,10,other,B07VMHRBLK;B07QB49ZZ5;B00NBQ6B6C;B00I11T1HI;B00SC06IJ2;B0099NSYPM;B07L5GYM1G;B09WTPQ9BJ;B07SRY8STQ;B01MUEF415,True,0,False,,,True,74,False,False,74,10,color,B08JQN13XY;B016QUDKCW;B07CK73QNS;B07GXB6MPF;B09MFXF6R7;B07G677SBG;B07V3ZPQ4N;B014KPGIG0;B000AI5EBW;B01C38IQEI,True,0,74,10,budget,B08JQN13XY;B016QUDKCW;B07CK73QNS;B07GXB6MPF;B09MFXF6R7;B07G677SBG;B07V3ZPQ4N;B014KPGIG0;B000AI5EBW;B01C38IQEI,True,0,74,10,size,B08JQN13XY;B016QUDKCW;B07CK73QNS;B07GXB6MPF;B09MFXF6R7;B07G677SBG;B014KPGIG0;B07V3ZPQ4N;B000AI5EBW;B07CMV8GSJ,True,0,74,10,brand,B08JQN13XY;B016QUDKCW;B07CK73QNS;B07GXB6MPF;B09MFXF6R7;B07G677SBG;B014KPGIG0;B07V3ZPQ4N;B000AI5EBW;B07CMV8GSJ,True,0,74,10,,B08JQN13XY;B016QUDKCW;B07CK73QNS;B07GXB6MPF;B09MFXF6R7;B07G677SBG;B014KPGIG0;B07V3ZPQ4N;B000AI5EBW;B07CMV8GSJ,True,0,74,10,,B08JQN13XY;B000AI5EBW;B07CK73QNS;B07V3ZPQ4N;B01C38IQEI;B07CMV8GSJ;B016QUDKCW;B09MFXF6R7;B014KPGIG0;B008LMNKYW,True,0,74,10,,B08JQN13XY;B000AI5EBW;B07CK73QNS;B07V3ZPQ4N;B01C38IQEI;B07CMV8GSJ;B016QUDKCW;B09MFXF6R7;B014KPGIG0;B008LMNKYW,True,0,74,10,,B08JQN13XY;B000AI5EBW;B07CK73QNS;B07V3ZPQ4N;B01C38IQEI;B07CMV8GSJ;B016QUDKCW;B09MFXF6R7;B014KPGIG0;B008LMNKYW,True,0,74,10,,B08JQN13XY;B000AI5EBW;B07CK73QNS;B07V3ZPQ4N;B01C38IQEI;B07CMV8GSJ;B016QUDKCW;B09MFXF6R7;B014KPGIG0;B008LMNKYW,True,0
public_0029,buying,B01IAKCZEK,19,10,other,B08C356KK3;B0C496CNQN;B00B8YUBCO;B01IAKCZEK;B08V13PVM8;B00GUNRBDA;B00GOCKGW0;B07B16X47S;B00JTKXCIO;B07R1ZX96G,True,0,True,1,4,False,19,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0030,buying,B09V5RTXG9,25,10,other,B0B9919ZCT;B074X7S7GZ;B07ZZDZMVQ;B0BL2HN7H1;B01D90JMUQ;B00MUKX302;B09V5RTXG9;B09T4SM1VH;B07BQFRFXH;B07QFHTT1C,True,0,True,1,7,False,25,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0031,buying,B0BQDTGHMZ,227,10,other,B072BJQ67P;B074WFYC96;B07WJJDHDP;B003ZV2HES;B0858VDFDW;B00BZ9VP5E;B08C4BXCX8;B01MYYE9JT;B00K1Y786Y;B07KR6KFHD,True,0,True,2,1,False,2,False,True,2,2,,B0BQDTGHMZ;B072HKPZD5,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0032,buying,B0834HZQZF,88,10,other,B01LWLUTMP;B01NA9MJWI;B0C73DSG4D;B08L8HN35R;B01M0IH5B6;B0713TR82H;B07WCN4J3D;B0895D7XD8;B0117R04NM;B011QIILGO,True,0,True,2,1,False,4,False,True,4,4,,B0834HZQZF;B01LWNEORC;B085Q6HZ7P;B07BQK1RTD,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0033,browsing,B08134XNNB,342,10,other,B08Y8Z2HJ6;B07LHMF6FP;B015QSA3XE;B00IOT39RA;B074WDWSMT;B08CVQNK5T;B018TJC99I;B00I8QWWG8;B0BLBFQ9BG;B09PH72JM2,True,0,True,2,1,False,1,False,True,1,1,,B08134XNNB,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0034,intent_override,B07Q9PNNB5,1,1,,B07Q9PNNB5,True,0,True,5,8,False,169,False,False,1,1,,B07Q9PNNB5,True,0,1,1,,B07Q9PNNB5,True,0,406,10,feature,B06XYN89R3;B085L3NL16;B00LLNKFDW;B01484AX14;B01DMAY136;B086ZVFDWF;B00COGB1HY;B093X19RH4;B01I3NKV90;B07DYHPWGN,True,1,169,10,other,B06XYN89R3;B00B29XFKU;B086ZVFDWF;B00AZNVMLI;B00Q7558N6;B01G7ARHSE;B004B8WGPY;B07Q9PNNB5;B007E5BQDY;B07BVXSDHY,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0035,boundary,B0BN6CCHB7,342,10,other,B08Y8Z2HJ6;B07LHMF6FP;B015QSA3XE;B00IOT39RA;B074WDWSMT;B08CVQNK5T;B018TJC99I;B00I8QWWG8;B0BLBFQ9BG;B09PH72JM2,True,0,True,3,8,False,8,False,True,342,10,feature,B008J4G92M;B09QS2WXLZ;B007PBPEFI;B00E41UJSY;B07KFQGV1J;B07GH7D1LM;B00I8QWWG8;B015QSA3XE;B07C91Z2LP;B095X95CMR,True,0,8,8,,B00ITKSNFM;B00ITKT4XM;B078GTVCS6;B00UZ23FRI;B072ZDR756;B09JLJP8VS;B078GGN9SM;B0BN6CCHB7,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0036,browsing,B08BWR1T58,503,10,other,B000AXYEA4;B079B3N3H3;B083SDLMWT;B09NBBPDLJ;B00UL4XK34;B07DGW6RLD;B08B4B5C4L;B0013JKP52;B007GC2Y4U;B00MWA61CC,True,0,True,2,1,False,1,False,True,1,1,,B08BWR1T58,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0037,browsing,B08KKBBMMD,28,10,other,B0735X7WXJ;B07TJ9PBKR;B07YD1DLMY;B00JOC9KY2;B018S73LBQ;B09VLR3Z3W;B09K6SNZFP;B01DC6BKLQ;B09VLT9C6F;B08KKBBMMD,True,0,True,1,10,False,28,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0038,intent_override,B07B5RGY2N,1,1,,B07B5RGY2N,True,0,True,4,9,False,10,True,True,1,1,,B07B5RGY2N,True,0,1,1,,B07B5RGY2N,True,0,10,10,,B015GI8LBA;B01MQIF3BA;B01MRJUKNX;B002UZXWX0;B07H61H9BY;B07CYVGN39;B07DL3HTVV;B07FD2MGLT;B07B5RGY2N;B01D9ZKRC8,True,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0039,browsing,B07TZCJW9X,25,10,feature,B00R8KLOWI;B06XFVLQPN;B001KJ9CVI;B009GJ6WLM;B08ZCDHW9D;B0BLY18TSP;B088B5V3D5;B008WICX9S;B07BLLMQWR;B00F1JOOHK,True,0,True,2,2,False,2,False,True,2,2,,B08KXMJSZK;B07TZCJW9X,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0040,browsing,B08ZJWTCDR,127,10,other,B0973M4832;B07X48JFV1;B09Y63S4MP;B08BYQPQDT;B08JL8ZDX7;B09SZ8TC1S;B07JF4TV4F;B08JLG55SX;B09H34Q9SQ;B07HJC93P1,True,0,True,2,3,False,3,False,True,3,3,,B00O12O126;B0B3GR3N7B;B08ZJWTCDR,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0041,boundary,B09MSY8926,519,10,other,B0991RZZKR;B095CM4F2J;B01EM470LQ;B08C2N139Z;B08BL1Y5QG;B08762F8KF;B07CTCMXLB;B09YLMJ2DF;B06Y5WWC4M;B01E37SQ2O,True,0,True,3,1,False,1,False,True,519,10,feature,B010P0AAJ0;B07JFQVGLV;B09HCGHMWZ;B07HFBCS6S;B07JNC1SFT;B08762F8KF;B095XX57RS;B09Y8VHYD6;B08B3V5HCN;B08HYHQLBC,True,0,1,1,,B09MSY8926,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0042,buying,B01LWOGORL,86,10,other,B005PK071W;B003XKO4I8;B07S7Z3CMK;B00YDL3NYW;B008NYUJ8S;B07C9J9QL5;B07QW3GYSP;B001F7MIRU;B0757P7RZ8;B01LWOGORL,True,0,True,1,10,False,86,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0043,browsing,B0C1KNGLPX,319,10,other,B003ZV2HES;B0033WRRSK;B09WTM3QKQ;B076XXT4JN;B07654QV8W;B009S65C7S;B07CRQ6SZF;B09B7D53S2;B001CUM7US;B073XL21MV,True,0,True,2,2,False,2,False,True,2,2,,B078MWZZZ1;B0C1KNGLPX,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0044,buying,B09BQ4G5BD,7,7,,B09BQ4G5BD;B07QXG5N4C;B0C36VHHG5;B09VCNRTK9;B004AGMTMW;B0C1CC4TL5;B0051NQ8XY,True,0,True,1,1,False,7,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
public_0045,buying,B07Z8NTWVV,232,10,other,B08762F8KF;B079QY8LW3;B07WV1SC15;B01EM470LQ;B0991RZZKR;B07MX7VK2V;B08FYN6CBS;B093KV7LP1;B074Z6BT18;B07DXNLGR8,True,0,True,2,1,False,5,False,True,5,5,,B07Z8NTWVV;B0BWD9T482;B01I24HM92;B0983GVBR4;B07K6MV2DN,True,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
