context_feature,item_feature,field_pair,positive_support,negative_support,learned_weight,absolute_weight
ctx:color=color: black,item:color=color: black,color×color,11233,89864,0.02001119777560234,0.02001119777560234
ctx:feature=age range (description): adult,item:feature=age range (description): adult,feature×feature,109,872,0.020011190325021744,0.020011190325021744
ctx:feature=dry cloth clean,item:feature=dry cloth clean,feature×feature,187,1496,0.020011188462376595,0.020011188462376595
ctx:material=polyester,item:feature=hand wash only,material×feature,3290,227088,-0.020011182874441147,0.020011182874441147
ctx:material=leather,item:style=department: womens,material×style,425,223968,-0.020011145621538162,0.020011145621538162
ctx:feature=imported,item:rating=1.0,feature×rating,178,137456,0.020011143758893013,0.020011143758893013
ctx:category=shoes pumps,item:popularity=6,category×popularity,344,33024,0.020011141896247864,0.020011141896247864
ctx:material=spandex,item:material=spandex,material×material,2116,16928,0.020011140033602715,0.020011140033602715
ctx:feature=synthetic sole,item:price=missing,feature×price,1648,14424,-0.02001112699508667,0.02001112699508667
ctx:feature=cork sole,item:feature=cork sole,feature×feature,102,816,0.02001112513244152,0.02001112513244152
ctx:feature=100% synthetic,item:feature=rubber sole,feature×feature,1961,37016,-0.02001112326979637,0.02001112326979637
ctx:category=shoes sandals,item:material=100% leather,category×material,704,30272,-0.020011115819215775,0.020011115819215775
ctx:feature=machine wash,item:price=35_50,feature×price,127,51208,0.02001107856631279,0.02001107856631279
ctx:feature=gemstones may have been treated to improve their appearance or durability and may require special care,item:feature=gemstones may have been treated to improve their appearance or durability and may require special care,feature×feature,67,536,0.020011043176054955,0.020011043176054955
"ctx:material=80% nylon, 20% spandex","item:material=80% nylon, 20% spandex",material×material,63,504,0.02001103386282921,0.02001103386282921
ctx:material=polyester,item:feature=made in the usa,material×feature,105,227088,0.02001103386282921,0.02001103386282921
ctx:category=tees & blouses t-shirts,item:price=0_10,category×price,168,35136,0.02001103013753891,0.02001103013753891
"ctx:feature=heel measures approximately 1.25""","item:feature=heel measures approximately 1.25""",feature×feature,61,488,0.020011017099022865,0.020011017099022865
ctx:category=accessories belts,item:material=polyester,category×material,104,13632,0.020010996609926224,0.020010996609926224
"ctx:feature=the perfect gift— our latest statement piece offers a beautiful silhouette that was carefully handmade by our in-house designers with the intention to create a long lasting, beauti",item:feature=fall in love— great jewelry ornaments to wear for parties and family gatherings; makes a wonderful gift for your loved ones on special occassions. these lovely statement pieces are,feature×feature,105,920,0.020010992884635925,0.020010992884635925
ctx:category=tees & blouses tanks & camis,item:feature=button closure,category×feature,136,19200,0.020010991021990776,0.020010991021990776
ctx:category=women jeans,item:material=cotton,category×material,1224,15424,-0.020010970532894135,0.020010970532894135
ctx:category=swimsuits & cover ups one-pieces,item:material=fabric,category×material,176,11456,-0.02001095563173294,0.02001095563173294
ctx:feature=pull on closure,item:feature=made in the usa or imported,feature×feature,117,85192,0.020010951906442642,0.020010951906442642
"ctx:material=60% cotton, 40% polyester","item:material=60% cotton, 40% polyester",material×material,403,3224,0.020010927692055702,0.020010927692055702
ctx:category=swimsuits & cover ups one-pieces,item:price=20_35,category×price,120,11456,0.020010914653539658,0.020010914653539658
ctx:category=dresses formal,item:feature=zipper closure,category×feature,280,6208,-0.020010894164443016,0.020010894164443016
ctx:category=pants casual,item:material=polyester,category×material,224,12480,0.020010894164443016,0.020010894164443016
ctx:color=color: red,item:rating=4.5,color×rating,639,19336,-0.020010869950056076,0.020010869950056076
ctx:material=polyester,item:brand=shein,material×brand,100,227088,0.02001086249947548,0.02001086249947548
ctx:feature=resin frame,item:feature=resin frame,feature×feature,59,472,0.02001084014773369,0.02001084014773369
ctx:category=bracelets link,item:rating=3.0,category×rating,64,6144,0.020010821521282196,0.020010821521282196
ctx:category=sandals platforms & wedges,item:popularity=1,category×popularity,552,28800,0.0200108140707016,0.0200108140707016
ctx:material=fabric,item:feature=dry clean only,material×feature,95,81896,0.020010795444250107,0.020010795444250107
ctx:material=spandex,item:material=8% spandex,material×material,65,16928,0.020010769367218018,0.020010769367218018
"ctx:material=60% cotton, 40% polyester",item:material=cotton,material×material,401,3224,0.02001076191663742,0.02001076191663742
ctx:category=card cases & money organizers wallets,item:price=missing,category×price,1768,18560,-0.020010756328701973,0.020010756328701973
ctx:color=color: black,item:feature=zipper closure,color×feature,307,89864,-0.020010754466056824,0.020010754466056824
ctx:feature=elastic closure,item:feature=elastic closure,feature×feature,780,6240,0.020010745152831078,0.020010745152831078
ctx:material=cotton,item:feature=zipper closure,material×feature,1515,261232,-0.02001074329018593,0.02001074329018593
ctx:material=100% cotton,item:color=color: black,material×color,265,30176,-0.02001069113612175,0.02001069113612175
ctx:category=shoes pumps,item:feature=manmade sole,category×feature,840,33024,-0.020010661333799362,0.020010661333799362
ctx:category=earrings hoop,item:price=missing,category×price,768,10240,-0.020010655745863914,0.020010655745863914
ctx:category=card cases & money organizers wallets,item:material=leather,category×material,1728,18560,-0.020010650157928467,0.020010650157928467
ctx:material=cotton,item:feature=made in the usa or imported,material×feature,420,261232,0.02001064084470272,0.02001064084470272
ctx:category=watches wrist watches,item:rating=2.5,category×rating,120,54080,0.02001063898205757,0.02001063898205757
ctx:material=cotton blend,item:material=cotton blend,material×material,296,2368,0.020010627806186676,0.020010627806186676
ctx:category=shirts t-shirts,item:feature=made in usa or imported,category×feature,120,68480,0.020010612905025482,0.020010612905025482
ctx:category=athletic fitness & cross-training,item:feature=100% synthetic,category×feature,160,7360,-0.020010601729154587,0.020010601729154587
ctx:category=tees & shirts tees,item:material=100% cotton,category×material,208,3328,-0.020010584965348244,0.020010584965348244
ctx:category=tees & blouses blouses & button-down shirts,item:popularity=9,category×popularity,136,34624,0.0200105719268322,0.0200105719268322
ctx:category=watches wrist watches,item:price=50_75,category×price,72,54080,0.0200105682015419,0.0200105682015419
ctx:category=sleep & lounge sets,item:feature=imported,category×feature,416,14656,-0.020010553300380707,0.020010553300380707
ctx:feature=fleece,item:feature=fleece,feature×feature,355,2840,0.020010551437735558,0.020010551437735558
"ctx:color=items that are handmade may vary in size, shape and color","item:color=items that are handmade may vary in size, shape and color",color×color,158,1264,0.02001054584980011,0.02001054584980011
ctx:feature=dry clean only,item:feature=dry clean only,feature×feature,365,2920,0.02001047506928444,0.02001047506928444
ctx:category=sandals platforms & wedges,item:price=50_75,category×price,56,28800,0.020010460168123245,0.020010460168123245
ctx:category=skirts casual,item:material=polyester,category×material,120,3136,-0.020010456442832947,0.020010456442832947
ctx:feature=material:alloy,item:feature=material:alloy,feature×feature,46,368,0.0200104508548975,0.0200104508548975
ctx:category=shoes & jewelry women,item:material=rayon,category×material,104,22848,0.02001044526696205,0.02001044526696205
ctx:category=suits & sport coats suits,item:feature=button closure,category×feature,136,2048,-0.02001042850315571,0.02001042850315571
ctx:category=shoes pumps,item:color=color: blue,category×color,64,33024,0.02001042291522026,0.02001042291522026
ctx:category=shirts casual button-down shirts,item:brand=goodthreads,category×brand,104,15296,-0.020010419189929962,0.020010419189929962
ctx:material=100% polyester,item:rating=3.5,material×rating,440,26376,0.020010411739349365,0.020010411739349365
ctx:category=men jerseys,item:rating=4.5,category×rating,192,3392,-0.020010408014059067,0.020010408014059067
ctx:material=100% spandex,item:material=spandex,material×material,79,640,0.02001039683818817,0.02001039683818817
ctx:feature=made in the usa or imported,item:feature=made in the usa or imported,feature×feature,671,5368,0.020010361447930336,0.020010361447930336
ctx:category=socks & hosiery socks,item:price=missing,category×price,1112,12160,-0.02001035585999489,0.02001035585999489
ctx:category=jackets & coats jackets,item:material=100% polyester,category×material,184,4416,-0.020010339096188545,0.020010339096188545
ctx:category=handbags & wallets satchels,item:price=missing,category×price,352,3456,-0.020010337233543396,0.020010337233543396
ctx:category=women leggings,item:price=10_20,category×price,112,13248,0.020010335370898247,0.020010335370898247
ctx:category=athletic walking,item:color=color: white,category×color,96,17280,0.02001033164560795,0.02001033164560795
ctx:category=earrings stud,item:rating=5.0,category×rating,512,17600,-0.0200103297829628,0.0200103297829628
ctx:feature=is discontinued by manufacturer: no,item:color=color: red,feature×color,366,72744,0.020010322332382202,0.020010322332382202
ctx:category=tees & blouses blouses & button-down shirts,item:feature=100% viscose,category×feature,72,34624,0.020010316744446754,0.020010316744446754
ctx:category=women shoes,item:feature=rubber,category×feature,48,38784,0.020010292530059814,0.020010292530059814
"ctx:feature=usa based company and service: our jewelry passes extensive quality checkpoints before being shipped to you. in the (very) unlikely event that you aren’t satisfied, simply return f","item:feature=usa based company and service: our jewelry passes extensive quality checkpoints before being shipped to you. in the (very) unlikely event that you aren’t satisfied, simply return f",feature×feature,50,400,0.02001028135418892,0.02001028135418892
ctx:category=hats & caps baseball caps,item:price=0_10,category×price,56,20224,0.020010266453027725,0.020010266453027725
ctx:category=clutches & evening bags clutches,item:rating=5.0,category×rating,112,1920,-0.02001025155186653,0.02001025155186653
ctx:category=shirts t-shirts,item:color=color: gray,category×color,184,68480,0.02001025155186653,0.02001025155186653
ctx:feature=zipper closure,item:price=35_50,feature×price,136,29336,0.020010247826576233,0.020010247826576233
"ctx:feature=95% viscose, 5% other fibers","item:feature=95% viscose, 5% other fibers",feature×feature,52,416,0.020010242238640785,0.020010242238640785
ctx:category=base layers & compression compression pants & tights,item:price=missing,category×price,328,3008,-0.020010238513350487,0.020010238513350487
ctx:category=jewelry cuff links,item:color=color: black,category×color,56,1792,-0.02001023292541504,0.02001023292541504
"ctx:material=55% cotton, 45% polyester","item:material=55% cotton, 45% polyester",material×material,64,512,0.020010218024253845,0.020010218024253845
ctx:feature=man made sole,item:feature=man made sole,feature×feature,290,2320,0.02001021057367325,0.02001021057367325
ctx:feature=100% synthetic,item:feature=package dimensions: 12 x 8 x 4 inches; 2 pounds,feature×feature,82,37016,0.020010199397802353,0.020010199397802353
ctx:material=nylon,item:feature=made in usa,material×feature,65,51680,0.020010190084576607,0.020010190084576607
ctx:category=jewelry rings,item:popularity=3,category×popularity,304,14720,-0.02001018077135086,0.02001018077135086
ctx:category=sunglasses & eyewear accessories sunglasses,item:popularity=7,category×popularity,96,26560,0.02001018077135086,0.02001018077135086
ctx:category=tops & tees tanks & camis,item:material=cotton,category×material,280,5248,-0.020010171458125114,0.020010171458125114
ctx:material=cotton blend,item:price=missing,material×price,188,2368,-0.020010169595479965,0.020010169595479965
ctx:material=fabric,item:feature=is discontinued by manufacturer: no,material×feature,110,81896,-0.020010165870189667,0.020010165870189667
ctx:category=shoes oxfords,item:material=100% leather,category×material,848,14208,-0.02001015655696392,0.02001015655696392
ctx:category=shoes sandals,item:feature=made in the usa or imported,category×feature,88,30272,0.02001013047993183,0.02001013047993183
ctx:category=fashion motorcycle,item:feature=rubber sole,category×feature,144,3392,-0.02001011371612549,0.02001011371612549
ctx:category=dresses casual,item:material=fabric,category×material,296,40384,0.0200100876390934,0.0200100876390934
ctx:category=tees & blouses t-shirts,item:material=100% polyester,category×material,168,35136,0.02001006528735161,0.02001006528735161
ctx:category=watches wrist watches,item:rating=5.0,category×rating,1688,54080,-0.02001006342470646,0.02001006342470646
ctx:feature=100% synthetic,item:brand=lifestride,feature×brand,110,37016,0.02001005783677101,0.02001005783677101
ctx:feature=machine wash,item:feature=imported,feature×feature,1452,51208,-0.020010046660900116,0.020010046660900116
ctx:category=women leggings,item:color=color: white,category×color,80,13248,0.02001004107296467,0.02001004107296467
ctx:category=team sports basketball,item:rating=5.0,category×rating,208,5312,-0.020010024309158325,0.020010024309158325
ctx:color=color: pink,item:style=department: womens,color×style,90,13200,-0.02001001685857773,0.02001001685857773
ctx:material=cotton,"item:material=97% cotton, 3% spandex",material×material,100,261232,0.02001001313328743,0.02001001313328743
ctx:category=tops tees & blouses,item:price=missing,category×price,568,5120,-0.02001001127064228,0.02001001127064228
ctx:category=women jeans,item:brand=goodthreads,category×brand,40,15424,-0.02001001127064228,0.02001001127064228
ctx:material=synthetic leather,item:material=synthetic leather,material×material,44,352,0.02001000940799713,0.02001000940799713
ctx:category=sandals heeled sandals,item:brand=aldo,category×brand,32,16896,-0.02000999264419079,0.02000999264419079
ctx:category=bracelets cuff,item:color=color: black,category×color,136,5120,-0.02000998705625534,0.02000998705625534
ctx:category=shoes & jewelry westlake,item:brand=floerns,category×brand,88,58944,0.02000998705625534,0.02000998705625534
ctx:material=wool,item:material=100% merino wool,material×material,60,16800,0.020009983330965042,0.020009983330965042
ctx:material=cotton,item:material=poly/cotton blend,material×material,70,261232,0.020009970292448997,0.020009970292448997
ctx:material=100% fabric or textile,item:material=100% fabric or textile,material×material,41,328,0.02000996842980385,0.02000996842980385
ctx:material=polyester,"item:material=polyester,spandex,nylon",material×material,65,227088,0.020009949803352356,0.020009949803352356
ctx:feature=mirror coating coating,item:feature=mirror coating coating,feature×feature,42,336,0.02000994235277176,0.02000994235277176
ctx:material=wool,item:feature=rubber sole,material×feature,215,16800,-0.02000993862748146,0.02000993862748146
ctx:category=sunglasses & eyewear accessories sunglasses,item:rating=4.0,category×rating,928,26560,-0.020009934902191162,0.020009934902191162
ctx:material=leather,item:brand=calvin klein,material×brand,225,223968,0.020009923726320267,0.020009923726320267
ctx:material=polyester,"item:material=polyester,spandex,rayon",material×material,45,227088,0.02000991627573967,0.02000991627573967
ctx:category=athletic walking,item:rating=3.0,category×rating,144,17280,0.02000986412167549,0.02000986412167549
ctx:color=color: grey,"item:material=solid colors: 100% cotton; heather grey: 90% cotton, 10% polyester; all other heathers: 50% cotton, 50% polyester",color×material,700,18392,-0.020009856671094894,0.020009856671094894
ctx:category=cummerbunds & pocket squares bow ties,item:rating=4.5,category×rating,104,1600,-0.020009852945804596,0.020009852945804596
ctx:material=spandex,item:color=color: red,material×color,80,16928,0.020009845495224,0.020009845495224
ctx:feature=hand wash,item:feature=hand wash,feature×feature,132,1056,0.0200098417699337,0.0200098417699337
ctx:feature=material: stainless steel,item:feature=material: stainless steel,feature×feature,101,808,0.020009834319353104,0.020009834319353104
ctx:category=shirts t-shirts,item:material=poly/cotton blend,category×material,64,68480,0.020009830594062805,0.020009830594062805
"ctx:material=spandex,nylon",item:material=spandex,material×material,68,544,0.020009823143482208,0.020009823143482208
ctx:category=active active base layers,item:price=missing,category×price,176,1856,-0.02000979706645012,0.02000979706645012
ctx:category=shirts t-shirts,item:popularity=3,category×popularity,1248,68480,0.02000976912677288,0.02000976912677288
ctx:category=shoes & jewelry men,item:feature=machine wash,category×feature,168,9856,-0.020009750500321388,0.020009750500321388
ctx:material=polyester,item:popularity=9,material×popularity,1200,227088,0.02000974863767624,0.02000974863767624
ctx:category=rings statement,item:popularity=1,category×popularity,456,12416,-0.02000974304974079,0.02000974304974079
ctx:category=sleep & lounge sets,item:rating=2.0,category×rating,40,14656,0.020009735599160194,0.020009735599160194
ctx:category=sandals platforms & wedges,item:material=100% leather,category×material,952,28800,-0.020009733736515045,0.020009733736515045
ctx:material=silk,item:price=0_10,material×price,95,9760,0.020009715110063553,0.020009715110063553
ctx:category=athletic walking,item:feature=mesh,category×feature,64,17280,0.020009713247418404,0.020009713247418404
ctx:category=tees & blouses tunics,item:feature=made in u.s.a,category×feature,48,26368,0.020009713247418404,0.020009713247418404
ctx:feature=pull on closure,item:color=color: gray,feature×color,132,85192,0.020009711384773254,0.020009711384773254
ctx:material=cotton,"item:material=cotton,polyester",material×material,95,261232,0.020009705796837807,0.020009705796837807
ctx:category=work & utility industrial & construction boots,item:price=missing,category×price,248,2624,-0.020009703934192657,0.020009703934192657
ctx:category=watches wrist watches,item:popularity=9,category×popularity,96,54080,0.020009702071547508,0.020009702071547508
ctx:category=active shirts & tees t-shirts,item:popularity=3,category×popularity,128,6336,0.020009692758321762,0.020009692758321762
ctx:feature=canvas,item:feature=imported,feature×feature,83,3192,-0.020009690895676613,0.020009690895676613
ctx:feature=imported,item:feature=ethylene vinyl acetate sole,feature×feature,154,137456,0.020009690895676613,0.020009690895676613
ctx:material=genuine leather,item:material=genuine leather,material×material,60,480,0.020009687170386314,0.020009687170386314
ctx:category=sweaters cardigans,item:feature=100% acrylic,category×feature,136,16000,0.020009685307741165,0.020009685307741165
ctx:category=fashion riding,item:price=missing,category×price,904,7744,-0.020009677857160568,0.020009677857160568
ctx:category=active athletic socks,item:feature=made in us,category×feature,104,14208,0.02000967413187027,0.02000967413187027
ctx:material=cotton,item:brand=champion,material×brand,100,261232,0.02000967413187027,0.02000967413187027
ctx:category=earrings stud,item:brand=lux accessories,category×brand,40,17600,0.02000967040657997,0.02000967040657997
ctx:category=earrings stud,"item:feature=great value— enjoy high-end quality, gorgeous jewelry at a low price point. all our beautiful jewelry is lead & nickel compliant with all u.s. requirements, lovingly packaged and d",category×feature,40,17600,0.02000967040657997,0.02000967040657997
ctx:category=earrings stud,"item:feature=the perfect gift— our latest statement piece offers a beautiful silhouette that was carefully handmade by our in-house designers with the intention to create a long lasting, beauti",category×feature,40,17600,0.02000967040657997,0.02000967040657997
ctx:category=tees & blouses blouses & button-down shirts,item:brand=romwe,category×brand,144,34624,0.020009662955999374,0.020009662955999374
ctx:feature=100% linen,item:feature=100% linen,feature×feature,38,304,0.020009661093354225,0.020009661093354225
ctx:category=watches wrist watches,item:feature=quality japanese-quartz movement,category×feature,120,54080,0.02000965178012848,0.02000965178012848
ctx:color=color: gray,item:price=missing,color×price,541,5192,-0.02000964805483818,0.02000964805483818
ctx:category=boots chukka,item:price=missing,category×price,328,3008,-0.020009638741612434,0.020009638741612434
ctx:category=jewelry rings,item:brand=amazon collection,category×brand,136,14720,0.020009633153676987,0.020009633153676987
ctx:feature=pull on closure,item:rating=3.5,feature×rating,1526,85192,0.02000962197780609,0.02000962197780609
ctx:category=shoes fashion sneakers,item:price=75_100,category×price,56,52544,0.020009618252515793,0.020009618252515793
