context_field,item_field,field_pair,cross_count,positive_support,comparable_negative_support,mean_absolute_weight,max_absolute_weight,positive_weight_count,negative_weight_count,active_public_state_count,mean_absolute_active_contribution,baseline_state_mrr,ablated_state_mrr,mrr_importance,baseline_state_hit_at_10,ablated_state_hit_at_10,hit_at_10_importance
category,budget,category×budget,6,584,118016,0.07190203138937552,0.1677345484495163,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
category,category,category×category,746,315576,2524608,0.0,0.0,0,0,1915,0.0,0.7789111672655277,0.7789111672655277,0.0,0.9148825065274151,0.9148825065274151,0.0
category,size,category×size,6,168,25920,0.036923431015263,0.06045079976320267,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
category,use_case,category×use_case,1,32,5888,0.017085112631320953,0.017085112631320953,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
color,brand,color×brand,60,2459,3723672,0.06518992087221705,0.19840224087238312,46,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
color,budget,color×budget,1,65,89864,0.09011689573526382,0.09011689573526382,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
color,category,color×category,323,17039,15969504,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
color,color,color×color,18,31767,287488,0.2320338049903512,0.2682066559791565,18,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
color,feature,color×feature,174,21457,6599008,0.09800863418535426,0.25189408659935,30,144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
color,material,color×material,124,19618,3924504,0.07561186121799232,0.2850247025489807,25,99,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
color,popularity,color×popularity,108,31232,2536768,0.08296307980910772,0.20816554129123688,50,58,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
color,price,color×price,79,31402,2006704,0.048190557828933424,0.16147246956825256,38,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
color,rating,color×rating,92,31359,2065096,0.04819210258606092,0.172404944896698,48,44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
color,style,color×style,22,2235,734424,0.13496926194056869,0.2581319212913513,1,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
feature,category,feature×category,987,73125,51880344,0.0,0.0,0,0,364,0.0,0.8113321624834787,0.8113321624834787,0.0,0.9835164835164835,0.9835164835164835,0.0
feature,size,feature×size,1,20,360,0.09917321056127548,0.09917321056127548,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
material,budget,material×budget,1,30,261232,0.082452192902565,0.082452192902565,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
material,category,material×category,1075,111582,159683504,0.0,0.0,0,0,768,0.0,0.7452982589587475,0.7452982589587475,0.0,0.9075520833333334,0.9075520833333334,0.0
material,size,material×size,2,55,451056,0.017920534824952483,0.02870708890259266,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
material,use_case,material×use_case,1,20,227088,0.04475223273038864,0.04475223273038864,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size,category,size×category,1,21,288,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size,feature,size×feature,1,31,288,0.1376190036535263,0.1376190036535263,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size,price,size×price,1,31,288,0.02215230092406273,0.02215230092406273,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size,size,size×size,3,85,680,0.16606932133436203,0.20385390520095825,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
style,brand,style×brand,7,268,155600,0.07683118060231209,0.15487653017044067,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
style,category,style×category,77,3541,2084808,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
style,color,style×color,21,2121,447296,0.11230806443130686,0.22561213374137878,5,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
style,feature,style×feature,24,2682,441560,0.12666603319424516,0.24594621360301971,7,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
style,material,style×material,7,382,166088,0.2202190841947283,0.2488168179988861,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
style,popularity,style×popularity,31,6342,359632,0.09316291434750441,0.2077454924583435,23,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
style,price,style×price,17,6422,239896,0.06150755943620906,0.15218710899353027,8,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
style,rating,style×rating,31,6337,381000,0.0504593494528484,0.15927903354167938,17,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
style,style,style×style,10,6659,53272,0.23987760692834853,0.26689621806144714,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
